line_num,timestamp,ip,method,path,status,size,user_agent,attack_id,payload_id,http_timestamp,source_ip,traffic_type,attack_type,gt_label,label_reason
39,31/Jul/2025:14:44:37 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:37.,172.19.0.3,benign,,benign,default_benign
40,31/Jul/2025:14:44:39 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:39.,172.19.0.3,benign,,benign,default_benign
41,31/Jul/2025:14:44:41 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:41.,172.19.0.3,benign,,benign,default_benign
42,31/Jul/2025:14:44:43 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:43.,172.19.0.3,benign,,benign,default_benign
43,31/Jul/2025:14:44:45 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:45.,172.19.0.3,benign,,benign,default_benign
44,31/Jul/2025:14:44:48 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:47.,172.19.0.3,benign,,benign,default_benign
45,31/Jul/2025:14:44:50 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:50.,172.19.0.3,benign,,benign,default_benign
46,31/Jul/2025:14:44:52 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:52.,172.19.0.3,benign,,benign,default_benign
47,31/Jul/2025:14:44:54 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:54.,172.19.0.3,benign,,benign,default_benign
48,31/Jul/2025:14:44:56 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:56.,172.19.0.3,benign,,benign,default_benign
49,31/Jul/2025:14:44:58 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:58.,172.19.0.3,benign,,benign,default_benign
50,31/Jul/2025:14:45:00 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:45:00.,172.19.0.3,benign,,benign,default_benign
51,31/Jul/2025:14:45:02 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:45:02.,172.19.0.3,benign,,benign,default_benign
52,31/Jul/2025:14:45:04 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:45:04.,172.19.0.3,benign,,benign,default_benign
53,31/Jul/2025:14:45:06 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:45:06.,172.19.0.3,benign,,benign,default_benign
